S.No	Player Name	Country	Role	Base Price(In Cr)	Tier	Age	Batting Style	Bowling Style	Form	Matches	Runs	Wickets	Average	Strike Rate	Economy	Capped Status	Primary Auction Category	Auction Tags
1	Rishabh Pant	India	Wicketkeeper	2	Elite	28	Left-hand bat	N/A	In Demand	128	3638	0	34.32	146.99	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
2	Shreyas Iyer	India	Batter	2	Elite	31	Right-hand bat	Right Arm Leg Break	In Demand	136	3799	0	34.23	133.86	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
3	Virat Kohli	India	Batter	2	Elite	37	Right-hand bat	Right Arm Medium	In Demand	269	8758	4	39.81	133.2	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
4	Ravindra Jadeja	India	All-Rounder	2	Elite	37	Left-hand bat	Left Arm Orthodox	In Demand	257	3267	172	27.92	130.16	7.68	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
5	Jasprit Bumrah	India	Bowler	2	Elite	32	Right-hand bat	Right Arm Fast	In Demand	148	74	183	22.5	91.36	7.26	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
6	Rohit Sharma	India	Batter	2	Elite	38	Right-hand bat	Right Arm Off Spin	In Demand	275	7164	15	29.85	132.57	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
7	Suryakumar Yadav	India	Batter	2	Elite	35	Right-hand bat	Right Arm Medium	In Demand	217	6535	0	41.36	154.56	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
8	Arshdeep Singh	India	Bowler	2	Elite	27	Left-hand bat	Left Arm Fast Medium	In Demand	85	31	97	27.52	67.39	9.03	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
9	Shubman Gill	India	Batter	2	Elite	26	Right-hand bat	Right Arm Off Spin	In Demand	120	3975	0	39.75	139.03	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
10	Rashid Khan	Afghanistan	Bowler	2	Elite	27	Right-hand bat	Right Arm Leg Break	In Demand	139	609	163	23.63	159.42	7.09	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
11	Sanju Samson	India	Wicketkeeper	2	Elite	31	Right-hand bat	N/A	In Demand	180	4726	0	30.49	138.92	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
12	KL Rahul	India	Wicketkeeper	2	Elite	33	Right-hand bat	N/A	In Demand	153	5335	0	45.21	136.41	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
13	Jos Buttler	England	Wicketkeeper	2	Elite	35	Right-hand bat	N/A	In Demand	124	4236	0	39.96	149.58	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
14	Hardik Pandya	India	All-Rounder	2	Elite	32	Right-hand bat	Right Arm Fast Medium	In Demand	154	2776	79	28.33	147.03	9.22	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
15	Ishan Kishan	India	Wicketkeeper	2	Elite	27	Left-hand bat	N/A	In Demand	122	3093	0	29.18	138.76	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
16	Trent Boult	New Zealand	Bowler	2	Elite	36	Right-hand bat	Left Arm Fast Medium	In Demand	122	86	143	26.62	103.61	8.42	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
17	Jofra Archer	England	Bowler	2	Elite	31	Right-hand bat	Right Arm Fast	In Demand	55	263	62	27.03	146.11	7.87	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
18	Bhuvneshwar Kumar	India	Bowler	2	Elite	36	Right-hand bat	Right Arm Medium	In Demand	192	320	202	27.15	91.17	7.71	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
19	MS Dhoni	India	Wicketkeeper	2	Elite	44	Right-hand bat	N/A	In Demand	278	5439	0	38.3	137.45	0	Capped	Marquee Players	Marquee Players | Capped Players | Wicketkeepers
20	Pat Cummins	Australia	Bowler	2	Elite	33	Right-hand bat	Right Arm Fast	In Demand	58	557	63	31.06	152.74	8.75	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
21	Kagiso Rabada	South Africa	Bowler	2	Elite	30	Left-hand bat	Right Arm Fast	In Demand	87	238	122	23.28	109.68	8.66	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
22	Yashasvi Jaiswal	India	Batter	2	Elite	24	Left-hand bat	Right Arm Leg Break	In Demand	67	2160	0	34.29	149.48	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
23	Mohammed Shami	India	Bowler	2	Elite	35	Right-hand bat	Right Arm Fast	In Demand	122	86	136	28.04	91.49	8.54	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
24	David Warner	Australia	Batter	2	Pro	39	Left-hand bat	Right Arm Leg Break	Consistent	184	6565	0	40.52	139.77	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
25	Abhishek Sharma	India	All-Rounder	2	Pro	26	Left-hand bat	Left Arm Orthodox	In Demand	77	1816	11	27.52	159.02	8.84	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
26	Faf du Plessis	South Africa	Batter	2	Pro	41	Right-hand bat	Right Arm Leg Break	In Demand	154	4773	0	35.1	135.79	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
27	Travis Head	Australia	Batter	2	Pro	32	Left-hand bat	Right Arm Off Spin	In Demand	31	931	0	33.25	174.34	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
28	Rinku Singh	India	Batter	2	Pro	28	Left-hand bat	Right Arm Off Spin	In Demand	59	1099	0	31.4	146.92	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
29	Riyan Parag	India	All-Rounder	2	Pro	24	Right-hand bat	Right Arm Off Spin	In Demand	84	1531	10	26.86	138.11	8.28	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
30	Ravichandran Ashwin	India	All-Rounder	2	Pro	39	Right-hand bat	Right Arm Off Spin	Consistent	221	833	187	13.02	118.16	7.2	Capped	Marquee Players	Marquee Players | Capped Players | All-rounders
31	Varun Chakravarthy	India	Bowler	2	Pro	34	Right-hand bat	Right Arm Leg Break	Consistent	84	28	97	23.1	56.0	7.53	Capped	Marquee Players	Marquee Players | Capped Players | Bowlers
32	Sai Sudharsan	India	Batter	2	Pro	24	Left-hand bat	Right Arm Leg Break	In Demand	38	1547	0	46.88	141.78	0	Capped	Marquee Players	Marquee Players | Capped Players | Batters
